"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","AUTH_019 - Should fail when OTP contains alphabets","Auth API","2026-08-31","passed","2026-08-31","","Validate OTP - Format Validation","",""
"","362","AUTH_002 - Should return NOT_FOUND for unregistered mobile","Auth API","2026-08-31","passed","2026-08-31","","Check Account","",""
"","1061","AUTH_014 - 2nd wrong OTP should show 3 attempts remaining","Auth API","2026-08-31","passed","2026-08-31","","Validate OTP - Wrong OTP Attempt Lifecycle","",""
"","277","AUTH_003 - Should fail with empty mobile number","Auth API","2026-08-31","passed","2026-08-31","","Check Account","",""
"","516","AUTH_004 - Should fail with too short mobile number","Auth API","2026-08-31","passed","2026-08-31","","Check Account","",""
"","551","AUTH_005 - Should fail when mobile contains alphabets","Auth API","2026-08-31","passed","2026-08-31","","Check Account","",""
"","268","AUTH_018 - Should fail when OTP field is empty","Auth API","2026-08-31","passed","2026-08-31","","Validate OTP - Format Validation","",""
"","592","AUTH_008 - Should fail sign-up when termsAndConditions is false","Auth API","2026-08-31","passed","2026-08-31","","Send OTP","",""
"","408","AUTH_006 - Should send OTP via sign-up with valid new user","Auth API","2026-08-31","passed","2026-08-31","","Send OTP","",""
"","1309","AUTH_017 - 5th wrong OTP should exhaust all attempts","Auth API","2026-08-31","passed","2026-08-31","","Validate OTP - Wrong OTP Attempt Lifecycle","",""
"","360","AUTH_007 - Should fail sign-up with empty mobile number","Auth API","2026-08-31","passed","2026-08-31","","Send OTP","",""
"","4653","AUTH_021 - Should verify OTP successfully with valid OTP","Auth API","2026-08-31","passed","2026-08-31","","Validate OTP - Successful","",""
"","49665","AUTH_013 - 1st wrong OTP should show 4 attempts remaining","Auth API","2026-08-31","passed","2026-08-31","","Validate OTP - Wrong OTP Attempt Lifecycle","",""
"","350","AUTH_010 - Should send OTP via sign-in with valid existing user","Auth API","2026-08-31","passed","2026-08-31","","Send OTP","",""
"","457","AUTH_020 - Should fail when OTP has wrong length (4 digits)","Auth API","2026-08-31","passed","2026-08-31","","Validate OTP - Format Validation","",""
"","267","AUTH_012 - Should fail sign-in when termsAndConditions is false","Auth API","2026-08-31","passed","2026-08-31","","Send OTP","",""
"","466","AUTH_009 - Should fail sign-up when privacyPolicy is false","Auth API","2026-08-31","passed","2026-08-31","","Send OTP","",""
"","992","AUTH_016 - 4th wrong OTP should show 1 attempt remaining","Auth API","2026-08-31","passed","2026-08-31","","Validate OTP - Wrong OTP Attempt Lifecycle","",""
"","5058","AUTH_022 - Should logout successfully with valid token","Auth API","2026-08-31","passed","2026-08-31","","Logout","",""
"","283","AUTH_011 - Should fail sign-in with empty mobile number","Auth API","2026-08-31","passed","2026-08-31","","Send OTP","",""
"","1125","AUTH_015 - 3rd wrong OTP should show 2 attempts remaining","Auth API","2026-08-31","passed","2026-08-31","","Validate OTP - Wrong OTP Attempt Lifecycle","",""
"","501","AUTH_023 - Should fail logout without auth token","Auth API","2026-08-31","passed","2026-08-31","","Logout","",""
"","381","AUTH_001 - Should return FOUND for registered mobile","Auth API","2026-08-31","passed","2026-08-31","","Check Account","",""
